Benchmark,EPS Type,Current EPS,Current PE,Current Index Level,PE Scenario,Value,MetricType
S&P 500,trailing,225.0,27.8,6255.0,1,225.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,1,-96.40287769784173,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,2,450.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,2,-92.80575539568345,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,3,675.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,3,-89.20863309352518,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,4,900.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,4,-85.61151079136691,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,5,1125.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,5,-82.01438848920863,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,6,1350.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,6,-78.41726618705036,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,7,1575.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,7,-74.82014388489209,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,8,1800.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,8,-71.22302158273382,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,9,2025.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,9,-67.62589928057554,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,10,2250.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,10,-64.02877697841727,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,11,2475.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,11,-60.431654676258994,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,12,2700.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,12,-56.83453237410072,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,13,2925.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,13,-53.23741007194245,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,14,3150.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,14,-49.64028776978417,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,15,3375.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,15,-46.043165467625904,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,16,3600.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,16,-42.44604316546763,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,17,3825.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,17,-38.84892086330935,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,18,4050.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,18,-35.251798561151084,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,19,4275.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,19,-31.654676258992808,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,20,4500.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,20,-28.057553956834536,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,21,4725.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,21,-24.460431654676263,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,22,4950.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,22,-20.863309352517987,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,23,5175.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,23,-17.266187050359715,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,24,5400.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,24,-13.669064748201443,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,25,5625.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,25,-10.07194244604317,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,26,5850.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,26,-6.474820143884896,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,27,6075.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,27,-2.877697841726623,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,28,6300.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,28,0.7194244604316502,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,29,6525.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,29,4.316546762589923,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,30,6750.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,30,7.913669064748197,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,31,6975.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,31,11.51079136690647,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,32,7200.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,32,15.107913669064743,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,33,7425.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,33,18.705035971223015,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,34,7650.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,34,22.302158273381288,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,35,7875.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,35,25.899280575539564,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,36,8100.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,36,29.496402877697836,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,37,8325.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,37,33.09352517985611,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,38,8550.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,38,36.690647482014384,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,39,8775.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,39,40.28776978417265,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,40,9000.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,40,43.88489208633093,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,41,9225.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,41,47.482014388489205,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,42,9450.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,42,51.07913669064747,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,43,9675.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,43,54.67625899280575,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,44,9900.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,44,58.273381294964025,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,45,10125.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,45,61.870503597122294,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,46,10350.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,46,65.46762589928056,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,47,10575.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,47,69.06474820143885,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,48,10800.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,48,72.66187050359711,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,49,11025.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,49,76.25899280575538,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,50,11250.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,50,79.85611510791367,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,51,11475.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,51,83.45323741007194,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,52,11700.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,52,87.0503597122302,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,53,11925.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,53,90.64748201438849,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,54,12150.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,54,94.24460431654676,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,55,12375.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,55,97.84172661870502,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,56,12600.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,56,101.43884892086331,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,57,12825.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,57,105.03597122302159,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,58,13050.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,58,108.63309352517985,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,59,13275.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,59,112.23021582733814,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,60,13500.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,60,115.8273381294964,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,61,13725.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,61,119.4244604316547,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,62,13950.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,62,123.02158273381293,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,63,14175.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,63,126.61870503597123,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,64,14400.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,64,130.2158273381295,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,65,14625.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,65,133.81294964028777,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,66,14850.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,66,137.41007194244602,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,67,15075.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,67,141.00719424460434,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,68,15300.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,68,144.6043165467626,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,69,15525.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,69,148.20143884892087,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,70,15750.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,70,151.79856115107913,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,71,15975.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,71,155.3956834532374,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,72,16200.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,72,158.99280575539566,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,73,16425.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,73,162.58992805755398,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,74,16650.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,74,166.18705035971223,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,75,16875.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,75,169.7841726618705,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,76,17100.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,76,173.38129496402877,Implied Return (%)
S&P 500,trailing,225.0,27.8,6255.0,77,17325.0,Implied Index Level
S&P 500,trailing,225.0,27.8,6255.0,77,176.97841726618705,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,1,145.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,1,-95.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,2,290.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,2,-90.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,3,435.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,3,-85.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,4,580.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,4,-80.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,5,725.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,5,-75.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,6,870.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,6,-70.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,7,1015.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,7,-65.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,8,1160.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,8,-60.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,9,1305.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,9,-55.00000000000001,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,10,1450.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,10,-50.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,11,1595.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,11,-44.99999999999999,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,12,1740.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,12,-40.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,13,1885.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,13,-35.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,14,2030.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,14,-30.000000000000004,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,15,2175.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,15,-25.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,16,2320.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,16,-19.999999999999996,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,17,2465.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,17,-15.000000000000002,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,18,2610.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,18,-9.999999999999998,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,19,2755.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,19,-5.000000000000004,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,20,2900.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,20,0.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,21,3045.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,21,5.000000000000004,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,22,3190.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,22,10.000000000000009,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,23,3335.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,23,14.999999999999991,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,24,3480.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,24,19.999999999999996,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,25,3625.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,25,25.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,26,3770.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,26,30.000000000000004,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,27,3915.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,27,35.00000000000001,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,28,4060.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,28,39.99999999999999,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,29,4205.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,29,44.99999999999999,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,30,4350.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,30,50.0,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,31,4495.0,Implied Index Level
Russell 2000,trailing,145.0,20.0,2900.0,31,55.00000000000001,Implied Return (%)
Russell 2000,trailing,145.0,20.0,2900.0,32,4640.0,Implied Index Level
